seed,hi,hj,freq_hj,hor_m_fim,pop_fim,fixou
1,5,8,0.9120,7.7361,221.7,misto
2,5,8,0.8226,7.4678,267.1,misto
3,5,8,0.5935,6.7804,327.1,misto
4,5,8,0.7742,7.3225,247.4,misto
5,5,8,0.6969,7.0907,299.3,misto
6,5,8,0.8587,7.5760,325.1,misto
7,5,8,0.7639,7.2917,310.8,misto
8,5,8,0.8819,7.6458,274.8,misto
1,5,9,0.8904,8.5614,223.7,misto
2,5,9,0.8321,8.3283,267.7,misto
3,5,9,0.5357,7.1428,320.3,misto
4,5,9,0.7573,8.0294,247.5,misto
5,5,9,0.7245,7.8979,296.6,misto
6,5,9,0.7535,8.0139,326.1,misto
7,5,9,0.8169,8.2675,311.6,misto
8,5,9,0.8934,8.5735,269.7,misto
1,6,10,0.8171,9.2684,225.1,misto
2,6,10,0.7783,9.1130,271.6,misto
3,6,10,0.5676,8.2705,325.1,misto
4,6,10,0.7889,9.1557,247.1,misto
5,6,10,0.6464,8.5855,293.3,misto
6,6,10,0.7240,8.8962,325.5,misto
7,6,10,0.6810,8.7241,310.8,misto
8,6,10,0.8593,9.4372,272.5,misto
1,6,11,0.8205,10.1026,224.9,misto
2,6,11,0.7381,9.6907,270.2,misto
3,6,11,0.6051,9.0255,319.2,misto
4,6,11,0.7487,9.7433,245.1,misto
5,6,11,0.6577,9.2886,296.3,misto
6,6,11,0.6855,9.4275,327.4,misto
7,6,11,0.7097,9.5486,313.3,misto
8,6,11,0.8253,10.1264,270.9,misto
1,6,12,0.8392,11.0351,221.8,misto
2,6,12,0.7693,10.6157,268.3,misto
3,6,12,0.5521,9.3123,321.8,misto
4,6,12,0.7734,10.6407,245.5,misto
5,6,12,0.6335,9.8007,299.4,misto
6,6,12,0.7546,10.5275,325.7,misto
7,6,12,0.7488,10.4927,317.6,misto
8,6,12,0.8047,10.8281,268.2,misto
1,6,7,0.6730,6.6730,226.4,misto
2,6,7,0.5688,6.5688,268.2,misto
3,6,7,0.5081,6.5081,325.1,misto
4,6,7,0.7434,6.7434,251.6,misto
5,6,7,0.5513,6.5513,292.4,misto
6,6,7,0.4472,6.4472,326.2,misto
7,6,7,0.7886,6.7886,313.9,misto
8,6,7,0.7475,6.7475,270.9,misto
1,6,8,0.9261,7.8523,227.2,misto
2,6,8,0.6852,7.3705,268.9,misto
3,6,8,0.4833,6.9666,323.2,misto
4,6,8,0.5769,7.1538,243.0,misto
5,6,8,0.5676,7.1352,297.9,misto
6,6,8,0.5624,7.1248,325.1,misto
7,6,8,0.6622,7.3243,316.9,misto
8,6,8,0.7577,7.5154,273.9,misto
1,6,9,0.8290,8.4870,224.4,misto
2,6,9,0.7646,8.2938,268.4,misto
3,6,9,0.5072,7.5216,323.3,misto
4,6,9,0.7582,8.2747,246.8,misto
5,6,9,0.6039,7.8118,299.9,misto
6,6,9,0.7524,8.2573,326.1,misto
7,6,9,0.7079,8.1236,307.6,misto
8,6,9,0.8465,8.5396,268.6,misto
1,7,10,0.7301,9.1902,225.2,misto
2,7,10,0.6919,9.0757,266.0,misto
3,7,10,0.4729,8.4186,322.6,misto
4,7,10,0.7376,9.2128,244.9,misto
5,7,10,0.5928,8.7783,295.9,misto
6,7,10,0.6791,9.0374,324.6,misto
7,7,10,0.7746,9.3238,313.7,misto
8,7,10,0.7475,9.2425,268.7,misto
1,7,11,0.7122,9.8487,226.3,misto
2,7,11,0.6192,9.4767,270.4,misto
3,7,11,0.5387,9.1546,327.6,misto
4,7,11,0.6515,9.6061,244.2,misto
5,7,11,0.5533,9.2132,295.8,misto
6,7,11,0.6485,9.5941,325.0,misto
7,7,11,0.6781,9.7126,317.6,misto
8,7,11,0.7052,9.8210,268.9,misto
1,7,12,0.7511,10.7556,221.6,misto
2,7,12,0.6492,10.2459,269.7,misto
3,7,12,0.4933,9.4666,318.1,misto
4,7,12,0.7756,10.8778,242.9,misto
5,7,12,0.5139,9.5697,290.6,misto
6,7,12,0.6098,10.0488,325.7,misto
7,7,12,0.6601,10.3004,313.4,misto
8,7,12,0.7524,10.7618,268.8,misto
1,7,8,0.8557,7.8557,221.0,misto
2,7,8,0.6046,7.6046,269.3,misto
3,7,8,0.5219,7.5219,320.8,misto
4,7,8,0.6197,7.6197,246.8,misto
5,7,8,0.5119,7.5119,301.3,misto
6,7,8,0.5452,7.5452,321.9,misto
7,7,8,0.7587,7.7587,318.4,misto
8,7,8,0.6216,7.6216,271.9,misto
1,7,9,0.7267,8.4535,221.7,misto
2,7,9,0.5368,8.0736,267.9,misto
3,7,9,0.5432,8.0863,323.6,misto
4,7,9,0.6436,8.2871,248.9,misto
5,7,9,0.6050,8.2100,298.3,misto
6,7,9,0.5441,8.0883,326.2,misto
7,7,9,0.6288,8.2575,312.9,misto
8,7,9,0.6651,8.3302,270.9,misto
1,8,10,0.6787,9.3574,225.5,misto
2,8,10,0.6027,9.2053,269.7,misto
3,8,10,0.4941,8.9881,321.7,misto
4,8,10,0.6674,9.3349,246.0,misto
5,8,10,0.4933,8.9867,295.0,misto
6,8,10,0.4109,8.8218,325.8,misto
7,8,10,0.5785,9.1570,313.8,misto
8,8,10,0.6594,9.3188,268.7,misto
