cond,seed,ticks,pop_fim,phi_ini,phi_fim,ag_ini,ag_fim,ac_ini,ac_fim,esp_ini,esp_fim,hor_ini,hor_fim,hon_fim,blef_fim,corr_full,corr_3k
fdep,27,29999,277,0.053801,0.016143,0.463246,0.082083,0.093110,0.219203,2.806626,0.195390,6.000000,6.000000,0.854990,0.116793,0.0000,0.0000
fdep,28,29999,303,0.057374,0.012627,0.492872,0.066967,0.096612,0.240197,2.919641,0.152433,6.000000,6.000000,0.833923,0.131350,0.0000,0.0000
fdep,29,29999,357,0.053705,0.024073,0.469335,0.127230,0.096036,0.208720,2.851420,0.363690,6.000000,6.000000,0.858663,0.103953,0.0000,0.0000
fdep,30,29999,274,0.056648,0.023890,0.471658,0.117943,0.101000,0.220090,2.949733,0.327873,6.000000,6.000000,0.873780,0.100213,0.0000,0.0000
fdep,31,29999,246,0.055036,0.015303,0.460851,0.078187,0.097819,0.230310,2.950409,0.173567,6.000000,6.000000,0.897693,0.080550,0.0000,0.0000
fdep,32,29999,271,0.056868,0.018300,0.482893,0.093163,0.101854,0.228967,2.964434,0.196007,6.000000,6.000000,0.877643,0.077350,0.0000,0.0000
fdep,33,29999,334,0.055114,0.022093,0.498345,0.123287,0.095413,0.223080,3.005121,0.330970,6.000000,6.000000,0.889110,0.082107,0.0000,0.0000
fdep,34,29999,267,0.057224,0.015267,0.480160,0.090270,0.099747,0.233830,2.933399,0.233753,6.000000,6.000000,0.902110,0.076987,0.0000,0.0000
fdep,35,29999,369,0.053406,0.021643,0.477829,0.113237,0.093584,0.213173,3.061495,0.288020,6.000000,6.000000,0.831897,0.132873,0.0000,0.0000
fdep,36,29999,211,0.058751,0.016573,0.435342,0.086807,0.103338,0.222410,2.687206,0.207263,6.000000,6.000000,0.892980,0.091087,0.0000,0.0000
fdep,37,29999,361,0.054954,0.016030,0.471036,0.087400,0.097480,0.221130,2.912078,0.196367,6.000000,6.000000,0.835503,0.133690,0.0000,0.0000
fdep,38,29999,290,0.056491,0.017637,0.492267,0.097187,0.098032,0.235397,2.994299,0.258897,6.000000,6.000000,0.869040,0.096777,0.0000,0.0000
fdep,39,29999,231,0.060391,0.015793,0.468808,0.093547,0.108000,0.243473,2.747036,0.218577,6.000000,6.000000,0.844147,0.129650,0.0000,0.0000
fdep,40,29999,337,0.055968,0.015637,0.466730,0.090160,0.097057,0.217183,2.864014,0.221853,6.000000,6.000000,0.806050,0.158940,0.0000,0.0000
fdep,41,29999,318,0.056548,0.018043,0.470580,0.086907,0.103790,0.218727,2.719708,0.223877,6.000000,6.000000,0.884157,0.091833,0.0000,0.0000
fdep,42,29999,288,0.059071,0.013210,0.467036,0.073743,0.101964,0.227687,2.956687,0.157673,6.000000,6.000000,0.860460,0.089883,0.0000,0.0000
fdep,43,29999,281,0.055577,0.016477,0.483128,0.086303,0.100249,0.230093,2.904875,0.212017,6.000000,6.000000,0.877313,0.095260,0.0000,0.0000
fdep,44,29999,245,0.053036,0.014617,0.468626,0.075677,0.101456,0.229360,3.029192,0.169623,6.000000,6.000000,0.889250,0.076520,0.0000,0.0000
fdep,45,29999,282,0.054843,0.016377,0.484907,0.085387,0.095744,0.229303,2.897961,0.210323,6.000000,6.000000,0.818677,0.163987,0.0000,0.0000
fdep,46,29999,312,0.057591,0.020393,0.477206,0.110257,0.104149,0.222350,2.727107,0.268397,6.000000,6.000000,0.859237,0.103983,0.0000,0.0000
fdep,47,29999,243,0.058854,0.023983,0.475772,0.128193,0.102580,0.227610,2.943783,0.343083,6.000000,6.000000,0.897623,0.046950,0.0000,0.0000
fdep,48,29999,240,0.053972,0.012857,0.461690,0.077303,0.097833,0.227280,2.892712,0.162610,6.000000,6.000000,0.751707,0.221857,0.0000,0.0000
fdep,49,29999,304,0.056085,0.012037,0.466028,0.076850,0.100253,0.230420,2.802488,0.174237,6.000000,6.000000,0.877270,0.097120,0.0000,0.0000
fdep,50,29999,291,0.056409,0.017977,0.467331,0.091017,0.100512,0.227563,2.868420,0.203110,6.000000,6.000000,0.874897,0.099613,0.0000,0.0000
