cond,seed,ticks,pop_fim,mod_med,mod_max,ag_med,ag_max,mo_med,mo_max,phi_med,phi_max,rel_med,rel_max,ac_med,ac_max,ac_ini,ac_fim,ag_ini,ag_fim,hor_ini,hor_fim,hon_fim,blef_fim,ag_pares,ag_dif,ag_dif_f32so,ag_dif_dblso
erem,20,2999,310,0.774875,1.000000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.005277,0.507000,0.026593,0.500000,0.044641,0.021500,0.000000,0.000000,5.012189,2.189653,0.363257,0.309593,912950,1,1,0
erem,21,2999,319,0.773888,1.000000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.005164,0.566000,0.028085,0.533000,0.037954,0.023780,0.000000,0.000000,4.570687,2.596273,0.277773,0.391343,940983,1,1,0
erem,22,2999,287,0.781981,1.000000,0.000003,0.004000,0.000000,0.000000,0.000000,0.000000,0.004806,0.533000,0.025332,0.467000,0.038117,0.021080,0.000000,0.000000,5.357943,2.945383,0.357193,0.248260,837066,2,2,0
erem,23,2999,292,0.780248,1.000000,0.000002,0.003000,0.000000,0.000000,0.000000,0.000000,0.004735,0.471000,0.027091,0.433000,0.043448,0.023717,0.000000,0.000000,5.637577,2.986967,0.257880,0.380427,880019,2,2,0
erem,24,2999,308,0.771910,1.000000,0.000003,0.003000,0.000000,0.000000,0.000000,0.000000,0.004133,0.268000,0.027804,0.550000,0.039712,0.021940,0.000000,0.000000,4.862566,3.156350,0.298443,0.419340,934313,3,3,0
erem,25,2999,307,0.780736,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004580,0.613000,0.028017,0.500000,0.046932,0.022863,0.000000,0.000000,5.826705,3.017347,0.411583,0.297803,934656,0,0,0
erem,26,2999,237,0.786787,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.004001,0.355000,0.028620,0.367000,0.041872,0.024213,0.000000,0.000000,4.923801,2.796370,0.451870,0.324780,710569,1,1,0
erem,27,2999,255,0.784420,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005569,0.156000,0.029037,0.600000,0.044164,0.023637,0.000000,0.000000,5.324060,2.914327,0.298607,0.373707,792290,0,0,0
erem,28,2999,301,0.777423,1.000000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.004182,0.786000,0.028537,0.433000,0.044160,0.021740,0.000000,0.000000,5.179829,2.539517,0.221250,0.234503,900516,1,1,0
erem,29,2999,352,0.773039,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004434,0.375000,0.026564,0.450000,0.037719,0.024103,0.000000,0.000000,5.403370,3.216200,0.286763,0.333793,1066419,0,0,0
erem,30,2999,270,0.787149,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004482,0.294000,0.028983,0.367000,0.046943,0.023853,0.000000,0.000000,5.272719,2.724450,0.437690,0.328887,789713,0,0,0
erem,31,2999,238,0.784191,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004373,0.803000,0.036288,0.417000,0.058338,0.028203,0.000000,0.000000,5.440434,2.468890,0.383493,0.364230,712350,0,0,0
erem,32,2999,271,0.782784,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.003476,0.185000,0.026858,0.500000,0.042060,0.021707,0.000014,0.000000,5.868786,3.193927,0.407057,0.333557,778686,1,1,0
erem,33,2999,315,0.771612,0.992000,0.000004,0.003000,0.000000,0.000000,0.000000,0.000000,0.004762,0.397000,0.028036,0.633000,0.037886,0.024567,0.000000,0.000000,3.970448,2.413000,0.229247,0.399127,957765,4,4,0
erem,34,2999,266,0.784934,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004658,0.548000,0.030109,0.350000,0.045566,0.023410,0.000000,0.000000,5.545082,3.067883,0.388130,0.403677,780190,0,0,0
erem,35,2999,346,0.771283,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004702,0.519000,0.027041,0.517000,0.039708,0.023313,0.000000,0.000000,5.285662,3.417083,0.332893,0.245150,1067830,0,0,0
erem,36,2999,205,0.796609,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005768,0.613000,0.032757,0.300000,0.047420,0.024930,0.000000,0.000000,5.500847,2.621330,0.409573,0.233240,599187,0,0,0
erem,37,2999,343,0.773974,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004869,0.793000,0.026537,0.617000,0.040399,0.022443,0.000000,0.000000,5.492345,2.873687,0.488253,0.198157,1041995,0,0,0
erem,38,2999,288,0.778713,0.969000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004376,0.589000,0.037330,0.433000,0.051132,0.032883,0.000000,0.000000,5.238633,2.661060,0.245773,0.286937,843040,0,0,0
erem,39,2999,223,0.790952,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003909,0.274000,0.033359,0.367000,0.053719,0.026750,0.000000,0.000000,5.442847,3.105597,0.412550,0.103277,671598,0,0,0
erem,40,2999,337,0.776521,1.000000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.004788,0.744000,0.029407,0.367000,0.043434,0.024067,0.000000,0.000000,5.071762,2.792080,0.415570,0.327780,988738,1,1,0
erem,41,2999,316,0.780293,0.990000,0.000003,0.003000,0.000000,0.000000,0.000000,0.000000,0.004637,0.708000,0.025680,0.467000,0.039263,0.021537,0.000000,0.000000,5.566438,3.054620,0.354933,0.286143,915611,3,3,0
erem,42,2999,276,0.786327,1.000000,0.000001,0.003000,0.000000,0.000000,0.000000,0.000000,0.005937,0.535000,0.029326,0.450000,0.044719,0.022533,0.000000,0.000000,4.703171,2.488240,0.266577,0.360717,831491,1,1,0
erem,43,2999,279,0.782403,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.004211,0.648000,0.029623,0.600000,0.051342,0.023573,0.000000,0.000000,5.590961,2.950303,0.347920,0.254357,822950,1,1,0
erem,44,2999,242,0.789523,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004494,1.000000,0.028510,0.433000,0.042281,0.024740,0.000000,0.000000,6.338021,3.483053,0.399610,0.193313,707427,0,0,0
erem,45,2999,276,0.782725,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.005310,0.481000,0.027295,0.500000,0.039758,0.022723,0.000000,0.000000,5.880117,3.254380,0.371467,0.358687,830240,1,1,0
erem,46,2999,303,0.776722,1.000000,0.000002,0.003000,0.000000,0.000000,0.000000,0.000000,0.004599,0.483000,0.026574,0.467000,0.043121,0.020870,0.000000,0.000000,5.259626,2.627377,0.406210,0.377783,917502,2,2,0
erem,47,2999,237,0.791925,1.000000,0.000001,0.004000,0.000000,0.000000,0.000000,0.000000,0.004412,0.486000,0.027224,0.450000,0.044776,0.020740,0.000000,0.000000,5.135947,2.783720,0.302810,0.387540,700869,1,1,0
erem,48,2999,240,0.785128,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004455,0.497000,0.029966,0.483000,0.047242,0.024693,0.000000,0.000000,5.187093,2.598610,0.346303,0.330223,694150,0,0,0
erem,49,2999,300,0.779164,1.000000,0.000002,0.003000,0.000000,0.000000,0.000000,0.000000,0.004636,0.538000,0.029074,0.400000,0.039228,0.025727,0.000011,0.000000,5.189214,2.513067,0.281093,0.351207,885338,2,2,0
erem,50,2999,272,0.782543,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004220,0.465000,0.028616,0.550000,0.042420,0.023860,0.000000,0.000000,5.457989,3.017223,0.317373,0.323040,818630,0,0,0
pv0,1,81,1,0.000000,0.000000,0.000000,0.267000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000000,-1,9.630532,-1,-1,-1,2258,0,0,0
pv0,2,72,1,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000000,-1,7.637396,-1,-1,-1,2268,0,0,0
pv0,3,88,1,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000000,-1,7.547971,-1,-1,-1,2053,0,0,0
pv0,4,76,1,0.000000,0.000000,0.000000,0.417000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000000,-1,9.040860,-1,-1,-1,2007,0,0,0
pv0,5,56,1,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000000,-1,5.891649,-1,-1,-1,2049,0,0,0
pv0,6,88,1,0.000000,0.000000,0.000000,0.217000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000000,-1,8.630391,-1,-1,-1,2222,0,0,0
pv0,7,70,1,0.000000,0.000000,0.000360,0.283000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1,0.000353,-1,8.753157,-1,-1,-1,2288,0,0,0
pv0,8,75,1,0.000000,0.000000,0.000000,0.450000,0.000000,0.017000,0.000000,0.000000,0.000000,0.006000,0.000000,0.000000,0.000000,-1,0.000000,-1,8.104321,-1,-1,-1,2156,0,0,0
