variante,desconto,horizonte,seed,k,n,cens,nP,nA,pred_m,real_m,vies,rmse,corr,fprem,viesP,rmseP,maxabsP,fvies,frmse,fcorr
uni,0.90,12,4,0,600809,184,578557,0,0.285980,0.349993,-0.064012,0.122711,0.7311,0.9630,-0.069187,0.120890,1.5,-9.000000,-9.000000,-9.0000
uni,0.90,12,4,1,600384,368,20332,600568,0.116054,0.349970,-0.233916,0.282821,-0.0135,0.0339,0.004912,0.041283,0.57184749841690063,0.069626,0.119109,0.7726
uni,0.90,12,4,2,599959,552,6907,600143,0.106573,0.349948,-0.243375,0.288307,0.0144,0.0115,-0.004504,0.030639,0.54258444905281067,-0.038403,0.079958,0.7793
uni,0.90,12,4,3,599534,736,2936,599718,0.103219,0.349939,-0.246720,0.290818,0.0159,0.0049,-0.008948,0.020368,0.25798201560974121,-0.047532,0.124070,0.3731
uni,0.90,12,4,4,599110,919,1590,599293,0.101977,0.349921,-0.247944,0.291488,0.0300,0.0027,-0.010019,0.016413,0.15289574861526489,-0.108537,0.159628,0.4032
uni,0.90,12,4,5,598686,1102,922,598869,0.101490,0.349910,-0.248420,0.291958,0.0260,0.0015,-0.011091,0.015107,0.087041646242141724,-0.094802,0.179867,0.1505
uni,0.90,12,4,6,598262,1285,596,598445,0.101284,0.349905,-0.248621,0.291937,0.0350,0.0010,-0.010868,0.013882,0.05229814350605011,-0.124043,0.194357,0.2271
uni,0.90,12,4,7,597838,1468,385,598021,0.101192,0.349898,-0.248707,0.292130,0.0290,0.0006,-0.011287,0.014064,0.047288164496421814,-0.104621,0.198141,0.1202
uni,0.90,12,4,8,597414,1651,260,597597,0.101145,0.349895,-0.248750,0.292025,0.0357,0.0004,-0.011007,0.013403,0.037315115332603455,-0.125293,0.204597,0.2031
uni,0.90,12,4,9,596990,1834,177,597173,0.101121,0.349890,-0.248770,0.292168,0.0299,0.0003,-0.011555,0.013897,0.036725133657455444,-0.109524,0.205987,0.1286
uni,0.90,12,4,10,596566,2017,125,596749,0.101105,0.349886,-0.248781,0.292047,0.0362,0.0002,-0.011159,0.013135,0.030992105603218079,-0.127176,0.211499,0.1953
uni,0.90,12,4,11,596142,2200,85,596325,0.101094,0.349872,-0.248778,0.292155,0.0312,0.0001,-0.011184,0.013275,0.03020864725112915,-0.114368,0.212972,0.1363
uni,0.90,12,5,0,729036,178,698054,0,0.276604,0.349463,-0.072859,0.132207,0.7283,0.9575,-0.078876,0.130687,1.5,-9.000000,-9.000000,-9.0000
